everyday-thing	turker	triplet	label
binoculars	worker_101	('objective lens', 'connects', 'frame')	True
binoculars	worker_101	('ocular lens', 'next to', 'frame')	True
binoculars	worker_101	('ocular lens', 'connects', 'frame')	True
binoculars	worker_102	('diopter', 'behind', 'objective lens')	True
binoculars	worker_102	('diopter', 'connects', 'adjustable eye cup')	True
binoculars	worker_102	('focus', 'behind', 'adjustable eye cup')	True
binoculars	worker_102	('ocular lens', 'behind', 'adjustable eye cup')	True
binoculars	worker_102	('adjustable eye cup', 'behind', 'diopter')	True
binoculars	worker_102	('adjustable eye cup', 'connects', 'focus')	True
binoculars	worker_102	('adjustable eye cup', 'connects', 'ocular lens')	True
binoculars	worker_102	('objective lens', 'behind', 'diopter')	False
binoculars	worker_102	('objective lens', 'in front of', 'diopter')	True
binoculars	worker_102	('adjustable eye cup', 'connects', 'diopter')	True
binoculars	worker_102	('adjustable eye cup', 'behind', 'focus')	False
binoculars	worker_102	('adjustable eye cup', 'in front of', 'focus')	True
binoculars	worker_102	('adjustable eye cup', 'behind', 'ocular lens')	False
binoculars	worker_102	('adjustable eye cup', 'in front of', 'ocular lens')	True
binoculars	worker_102	('diopter', 'behind', 'adjustable eye cup')	False
binoculars	worker_102	('diopter', 'in front of', 'adjustable eye cup')	True
binoculars	worker_102	('focus', 'connects', 'adjustable eye cup')	True
binoculars	worker_102	('ocular lens', 'connects', 'adjustable eye cup')	True
binoculars	worker_102	('focus', 'behind', 'diopter')	True
binoculars	worker_102	('ocular lens', 'behind', 'diopter')	True
binoculars	worker_102	('adjustable eye cup', 'behind', 'objective lens')	True
binoculars	worker_102	('objective lens', 'in front of', 'adjustable eye cup')	True
binoculars	worker_102	('diopter', 'in front of', 'focus')	True
binoculars	worker_102	('diopter', 'in front of', 'ocular lens')	True
binoculars	worker_102	('diopter', 'in front of', 'objective lens')	False
binoculars	worker_102	('focus', 'in front of', 'adjustable eye cup')	False
binoculars	worker_102	('ocular lens', 'in front of', 'adjustable eye cup')	False
binoculars	worker_102	('adjustable eye cup', 'in front of', 'diopter')	False
binoculars	worker_102	('diopter', 'behind', 'focus')	False
binoculars	worker_102	('diopter', 'behind', 'ocular lens')	False
binoculars	worker_102	('objective lens', 'behind', 'adjustable eye cup')	False
binoculars	worker_102	('adjustable eye cup', 'in front of', 'objective lens')	False
binoculars	worker_102	('focus', 'in front of', 'diopter')	False
binoculars	worker_102	('ocular lens', 'in front of', 'diopter')	False
binoculars	worker_102	('focus', 'behind', 'objective lens')	True
binoculars	worker_102	('ocular lens', 'behind', 'objective lens')	True
binoculars	worker_102	('objective lens', 'in front of', 'focus')	True
binoculars	worker_102	('objective lens', 'in front of', 'ocular lens')	True
binoculars	worker_102	('objective lens', 'behind', 'focus')	False
binoculars	worker_102	('objective lens', 'behind', 'ocular lens')	False
binoculars	worker_102	('focus', 'in front of', 'objective lens')	False
binoculars	worker_102	('ocular lens', 'in front of', 'objective lens')	False
binoculars	worker_100	('focus', 'next to', 'ocular lens')	True
binoculars	worker_100	('focus', 'next to', 'adjustable eye cup')	True
binoculars	worker_100	('focus', 'next to', 'diopter')	True
binoculars	worker_100	('ocular lens', 'connects', 'adjustable eye cup')	True
binoculars	worker_100	('diopter', 'connects', 'adjustable eye cup')	True
binoculars	worker_100	('diopter', 'behind', 'objective lens')	True
binoculars	worker_100	('ocular lens', 'next to', 'focus')	True
binoculars	worker_100	('adjustable eye cup', 'next to', 'focus')	True
binoculars	worker_100	('diopter', 'next to', 'focus')	True
binoculars	worker_100	('adjustable eye cup', 'connects', 'ocular lens')	True
binoculars	worker_100	('adjustable eye cup', 'connects', 'diopter')	True
binoculars	worker_100	('objective lens', 'behind', 'diopter')	False
binoculars	worker_100	('objective lens', 'in front of', 'diopter')	True
binoculars	worker_100	('diopter', 'in front of', 'objective lens')	False
blender	worker_101	('refilling cap', 'connects', 'lid')	True
blender	worker_101	('refilling cap', 'above', 'lid')	True
blender	worker_101	('lid', 'above', 'pitcher')	True
blender	worker_101	('lid', 'connects', 'pitcher')	True
blender	worker_101	('handle', 'next to', 'pitcher')	True
blender	worker_101	('handle', 'connects', 'pitcher')	True
blender	worker_101	('pitcher', 'above', 'base')	True
blender	worker_101	('pitcher', 'connects', 'base')	True
blender	worker_101	('power', 'part of', 'control board')	True
blender	worker_101	('base', 'connects', 'control board')	True
blender	worker_101	('control board', 'above', 'base')	True
blender	worker_101	('lid', 'connects', 'refilling cap')	True
blender	worker_101	('lid', 'above', 'refilling cap')	False
blender	worker_101	('lid', 'below', 'refilling cap')	True
blender	worker_101	('pitcher', 'above', 'lid')	False
blender	worker_101	('pitcher', 'below', 'lid')	True
blender	worker_101	('pitcher', 'connects', 'lid')	True
blender	worker_101	('pitcher', 'next to', 'handle')	True
blender	worker_101	('pitcher', 'connects', 'handle')	True
blender	worker_101	('base', 'above', 'pitcher')	False
blender	worker_101	('base', 'below', 'pitcher')	True
blender	worker_101	('base', 'connects', 'pitcher')	True
blender	worker_101	('control board', 'part of', 'power')	False
blender	worker_101	('control board', 'has part', 'power')	True
blender	worker_101	('control board', 'connects', 'base')	True
blender	worker_101	('base', 'above', 'control board')	False
blender	worker_101	('base', 'below', 'control board')	True
blender	worker_101	('refilling cap', 'above', 'pitcher')	True
blender	worker_101	('lid', 'above', 'base')	True
blender	worker_101	('pitcher', 'below', 'refilling cap')	True
blender	worker_101	('base', 'below', 'lid')	True
blender	worker_101	('refilling cap', 'below', 'lid')	False
blender	worker_101	('lid', 'below', 'pitcher')	False
blender	worker_101	('pitcher', 'below', 'base')	False
blender	worker_101	('power', 'has part', 'control board')	False
blender	worker_101	('control board', 'below', 'base')	False
blender	worker_101	('pitcher', 'above', 'refilling cap')	False
blender	worker_101	('base', 'above', 'lid')	False
blender	worker_101	('refilling cap', 'below', 'pitcher')	False
blender	worker_101	('lid', 'below', 'base')	False
blender	worker_101	('refilling cap', 'above', 'base')	True
blender	worker_101	('base', 'below', 'refilling cap')	True
blender	worker_101	('base', 'above', 'refilling cap')	False
blender	worker_101	('refilling cap', 'below', 'base')	False
blender	worker_100	('refilling cap', 'connects', 'lid')	True
blender	worker_100	('lid', 'connects', 'pitcher')	True
blender	worker_100	('handle', 'part of', 'pitcher')	True
blender	worker_100	('pitcher', 'connects', 'base')	True
blender	worker_100	('control board', 'part of', 'base')	True
blender	worker_100	('control board', 'requires', 'power')	True
blender	worker_100	('power', 'part of', 'base')	True
blender	worker_100	('lid', 'connects', 'refilling cap')	True
blender	worker_100	('pitcher', 'connects', 'lid')	True
blender	worker_100	('pitcher', 'part of', 'handle')	False
blender	worker_100	('pitcher', 'has part', 'handle')	True
blender	worker_100	('base', 'connects', 'pitcher')	True
blender	worker_100	('base', 'part of', 'control board')	False
blender	worker_100	('base', 'has part', 'control board')	True
blender	worker_100	('power', 'requires', 'control board')	False
blender	worker_100	('power', 'required by', 'control board')	True
blender	worker_100	('base', 'part of', 'power')	False
blender	worker_100	('base', 'has part', 'power')	True
blender	worker_100	('handle', 'has part', 'pitcher')	False
blender	worker_100	('control board', 'has part', 'base')	False
blender	worker_100	('control board', 'required by', 'power')	False
blender	worker_100	('power', 'has part', 'base')	False
blender	worker_104	('refilling cap', 'above', 'lid')	True
blender	worker_104	('lid', 'above', 'pitcher')	True
blender	worker_104	('lid', 'above', 'handle')	True
blender	worker_104	('pitcher', 'next to', 'handle')	True
blender	worker_104	('pitcher', 'above', 'power')	True
blender	worker_104	('power', 'above', 'base')	True
blender	worker_104	('power', 'next to', 'control board')	True
blender	worker_104	('control board', 'above', 'base')	True
blender	worker_104	('lid', 'above', 'refilling cap')	False
blender	worker_104	('lid', 'below', 'refilling cap')	True
blender	worker_104	('pitcher', 'above', 'lid')	False
blender	worker_104	('pitcher', 'below', 'lid')	True
blender	worker_104	('handle', 'above', 'lid')	False
blender	worker_104	('handle', 'below', 'lid')	True
blender	worker_104	('handle', 'next to', 'pitcher')	True
blender	worker_104	('power', 'above', 'pitcher')	False
blender	worker_104	('power', 'below', 'pitcher')	True
blender	worker_104	('base', 'above', 'power')	False
blender	worker_104	('base', 'below', 'power')	True
blender	worker_104	('control board', 'next to', 'power')	True
blender	worker_104	('base', 'above', 'control board')	False
blender	worker_104	('base', 'below', 'control board')	True
blender	worker_104	('refilling cap', 'above', 'pitcher')	True
blender	worker_104	('refilling cap', 'above', 'handle')	True
blender	worker_104	('lid', 'above', 'power')	True
blender	worker_104	('pitcher', 'above', 'base')	True
blender	worker_104	('pitcher', 'below', 'refilling cap')	True
blender	worker_104	('handle', 'below', 'refilling cap')	True
blender	worker_104	('power', 'below', 'lid')	True
blender	worker_104	('base', 'below', 'pitcher')	True
blender	worker_104	('refilling cap', 'below', 'lid')	False
blender	worker_104	('lid', 'below', 'pitcher')	False
blender	worker_104	('lid', 'below', 'handle')	False
blender	worker_104	('pitcher', 'below', 'power')	False
blender	worker_104	('power', 'below', 'base')	False
blender	worker_104	('control board', 'below', 'base')	False
blender	worker_104	('pitcher', 'above', 'refilling cap')	False
blender	worker_104	('handle', 'above', 'refilling cap')	False
blender	worker_104	('power', 'above', 'lid')	False
blender	worker_104	('base', 'above', 'pitcher')	False
blender	worker_104	('refilling cap', 'below', 'pitcher')	False
blender	worker_104	('refilling cap', 'below', 'handle')	False
blender	worker_104	('lid', 'below', 'power')	False
blender	worker_104	('pitcher', 'below', 'base')	False
blender	worker_104	('refilling cap', 'above', 'power')	True
blender	worker_104	('refilling cap', 'above', 'base')	True
blender	worker_104	('lid', 'above', 'base')	True
blender	worker_104	('power', 'below', 'refilling cap')	True
blender	worker_104	('base', 'below', 'lid')	True
blender	worker_104	('base', 'below', 'refilling cap')	True
blender	worker_104	('power', 'above', 'refilling cap')	False
blender	worker_104	('base', 'above', 'refilling cap')	False
blender	worker_104	('base', 'above', 'lid')	False
blender	worker_104	('refilling cap', 'below', 'power')	False
blender	worker_104	('lid', 'below', 'base')	False
blender	worker_104	('refilling cap', 'below', 'base')	False
boat	worker_100	('stern', 'behind', 'transom')	True
boat	worker_100	('transom', 'behind', 'port')	True
boat	worker_100	('transom', 'behind', 'starboard')	True
boat	worker_100	('port', 'next to', 'starboard')	True
boat	worker_100	('port', 'above', 'hull')	True
boat	worker_100	('starboard', 'above', 'hull')	True
boat	worker_100	('port', 'behind', 'gunwale')	True
boat	worker_100	('starboard', 'behind', 'gunwale')	True
boat	worker_100	('gunwale', 'above', 'hull')	True
boat	worker_100	('gunwale', 'behind', 'bow')	True
boat	worker_100	('transom', 'behind', 'stern')	False
boat	worker_100	('transom', 'in front of', 'stern')	True
boat	worker_100	('port', 'behind', 'transom')	False
boat	worker_100	('port', 'in front of', 'transom')	True
boat	worker_100	('starboard', 'behind', 'transom')	False
boat	worker_100	('starboard', 'in front of', 'transom')	True
boat	worker_100	('starboard', 'next to', 'port')	True
boat	worker_100	('hull', 'above', 'port')	False
boat	worker_100	('hull', 'below', 'port')	True
boat	worker_100	('hull', 'above', 'starboard')	False
boat	worker_100	('hull', 'below', 'starboard')	True
boat	worker_100	('gunwale', 'behind', 'port')	False
boat	worker_100	('gunwale', 'in front of', 'port')	True
boat	worker_100	('gunwale', 'behind', 'starboard')	False
boat	worker_100	('gunwale', 'in front of', 'starboard')	True
boat	worker_100	('hull', 'above', 'gunwale')	False
boat	worker_100	('hull', 'below', 'gunwale')	True
boat	worker_100	('bow', 'behind', 'gunwale')	False
boat	worker_100	('bow', 'in front of', 'gunwale')	True
boat	worker_100	('stern', 'behind', 'port')	True
boat	worker_100	('stern', 'behind', 'starboard')	True
boat	worker_100	('transom', 'behind', 'gunwale')	True
boat	worker_100	('port', 'behind', 'bow')	True
boat	worker_100	('starboard', 'behind', 'bow')	True
boat	worker_100	('port', 'in front of', 'stern')	True
boat	worker_100	('starboard', 'in front of', 'stern')	True
boat	worker_100	('gunwale', 'in front of', 'transom')	True
boat	worker_100	('bow', 'in front of', 'port')	True
boat	worker_100	('bow', 'in front of', 'starboard')	True
boat	worker_100	('stern', 'in front of', 'transom')	False
boat	worker_100	('transom', 'in front of', 'port')	False
boat	worker_100	('transom', 'in front of', 'starboard')	False
boat	worker_100	('port', 'below', 'hull')	False
boat	worker_100	('starboard', 'below', 'hull')	False
boat	worker_100	('port', 'in front of', 'gunwale')	False
boat	worker_100	('starboard', 'in front of', 'gunwale')	False
boat	worker_100	('gunwale', 'below', 'hull')	False
boat	worker_100	('gunwale', 'in front of', 'bow')	False
boat	worker_100	('port', 'behind', 'stern')	False
boat	worker_100	('starboard', 'behind', 'stern')	False
boat	worker_100	('gunwale', 'behind', 'transom')	False
boat	worker_100	('bow', 'behind', 'port')	False
boat	worker_100	('bow', 'behind', 'starboard')	False
boat	worker_100	('stern', 'in front of', 'port')	False
boat	worker_100	('stern', 'in front of', 'starboard')	False
boat	worker_100	('transom', 'in front of', 'gunwale')	False
boat	worker_100	('port', 'in front of', 'bow')	False
boat	worker_100	('starboard', 'in front of', 'bow')	False
boat	worker_100	('stern', 'behind', 'gunwale')	True
boat	worker_100	('stern', 'behind', 'bow')	True
boat	worker_100	('transom', 'behind', 'bow')	True
boat	worker_100	('gunwale', 'in front of', 'stern')	True
boat	worker_100	('bow', 'in front of', 'transom')	True
boat	worker_100	('bow', 'in front of', 'stern')	True
boat	worker_100	('gunwale', 'behind', 'stern')	False
boat	worker_100	('bow', 'behind', 'stern')	False
boat	worker_100	('bow', 'behind', 'transom')	False
boat	worker_100	('stern', 'in front of', 'gunwale')	False
boat	worker_100	('transom', 'in front of', 'bow')	False
boat	worker_100	('stern', 'in front of', 'bow')	False
boat	worker_102	('stern', 'behind', 'transom')	True
boat	worker_102	('transom', 'next to', 'port')	True
boat	worker_102	('transom', 'above', 'hull')	True
boat	worker_102	('transom', 'next to', 'starboard')	True
boat	worker_102	('port', 'connects', 'hull')	True
boat	worker_102	('hull', 'behind', 'bow')	True
boat	worker_102	('hull', 'connects', 'starboard')	True
boat	worker_102	('gunwale', 'above', 'bow')	True
boat	worker_102	('gunwale', 'above', 'starboard')	True
boat	worker_102	('transom', 'behind', 'stern')	False
boat	worker_102	('transom', 'in front of', 'stern')	True
boat	worker_102	('port', 'next to', 'transom')	True
boat	worker_102	('hull', 'above', 'transom')	False
boat	worker_102	('hull', 'below', 'transom')	True
boat	worker_102	('starboard', 'next to', 'transom')	True
boat	worker_102	('hull', 'connects', 'port')	True
boat	worker_102	('bow', 'behind', 'hull')	False
boat	worker_102	('bow', 'in front of', 'hull')	True
boat	worker_102	('starboard', 'connects', 'hull')	True
boat	worker_102	('bow', 'above', 'gunwale')	False
boat	worker_102	('bow', 'below', 'gunwale')	True
boat	worker_102	('starboard', 'above', 'gunwale')	False
boat	worker_102	('starboard', 'below', 'gunwale')	True
boat	worker_102	('stern', 'in front of', 'transom')	False
boat	worker_102	('transom', 'below', 'hull')	False
boat	worker_102	('hull', 'in front of', 'bow')	False
boat	worker_102	('gunwale', 'below', 'bow')	False
boat	worker_102	('gunwale', 'below', 'starboard')	False
boat	worker_103	('transom', 'part of', 'stern')	True
boat	worker_103	('stern', 'connects', 'hull')	True
boat	worker_103	('port', 'connects', 'hull')	True
boat	worker_103	('hull', 'connects', 'starboard')	True
boat	worker_103	('hull', 'connects', 'gunwale')	True
boat	worker_103	('hull', 'connects', 'bow')	True
boat	worker_103	('stern', 'part of', 'transom')	False
boat	worker_103	('stern', 'has part', 'transom')	True
boat	worker_103	('hull', 'connects', 'stern')	True
boat	worker_103	('hull', 'connects', 'port')	True
boat	worker_103	('starboard', 'connects', 'hull')	True
boat	worker_103	('gunwale', 'connects', 'hull')	True
boat	worker_103	('bow', 'connects', 'hull')	True
boat	worker_103	('transom', 'has part', 'stern')	False
digital camera	worker_101	('power switch', 'next to', 'mode dial')	True
digital camera	worker_101	('mode dial', 'next to', 'main dial')	True
digital camera	worker_101	('main dial', 'next to', 'shutter button')	True
digital camera	worker_101	('power switch', 'next to', 'shutter button')	True
digital camera	worker_101	('mode dial', 'next to', 'flash')	True
digital camera	worker_101	('flash', 'requires', 'flash button')	True
digital camera	worker_101	('flash', 'above', 'lens')	True
digital camera	worker_101	('flash button', 'above', 'lens')	True
digital camera	worker_101	('lens', 'next to', 'lens release')	True
digital camera	worker_101	('lens', 'next to', 'focus switch mode')	True
digital camera	worker_101	('lens', 'next to', 'shutter button')	True
digital camera	worker_101	('mode dial', 'next to', 'power switch')	True
digital camera	worker_101	('main dial', 'next to', 'mode dial')	True
digital camera	worker_101	('shutter button', 'next to', 'main dial')	True
digital camera	worker_101	('shutter button', 'next to', 'power switch')	True
digital camera	worker_101	('flash', 'next to', 'mode dial')	True
digital camera	worker_101	('flash button', 'requires', 'flash')	False
digital camera	worker_101	('flash button', 'required by', 'flash')	True
digital camera	worker_101	('lens', 'above', 'flash')	False
digital camera	worker_101	('lens', 'below', 'flash')	True
digital camera	worker_101	('lens', 'above', 'flash button')	False
digital camera	worker_101	('lens', 'below', 'flash button')	True
digital camera	worker_101	('lens release', 'next to', 'lens')	True
digital camera	worker_101	('focus switch mode', 'next to', 'lens')	True
digital camera	worker_101	('shutter button', 'next to', 'lens')	True
digital camera	worker_101	('flash', 'required by', 'flash button')	False
digital camera	worker_101	('flash', 'below', 'lens')	False
digital camera	worker_101	('flash button', 'below', 'lens')	False
digital camera	worker_100	('mode dial', 'next to', 'flash')	True
digital camera	worker_100	('mode dial', 'next to', 'power switch')	True
digital camera	worker_100	('flash', 'above', 'flash button')	True
digital camera	worker_100	('flash button', 'above', 'lens release')	True
digital camera	worker_100	('lens release', 'next to', 'lens')	True
digital camera	worker_100	('power switch', 'above', 'shutter button')	True
digital camera	worker_100	('settings', 'behind', 'lens')	True
digital camera	worker_100	('flash', 'next to', 'mode dial')	True
digital camera	worker_100	('power switch', 'next to', 'mode dial')	True
digital camera	worker_100	('flash button', 'above', 'flash')	False
digital camera	worker_100	('flash button', 'below', 'flash')	True
digital camera	worker_100	('lens release', 'above', 'flash button')	False
digital camera	worker_100	('lens release', 'below', 'flash button')	True
digital camera	worker_100	('lens', 'next to', 'lens release')	True
